data set,fold,shrinkage,depth,accuracy
imdb_big,9,0.2,2,0.5618615209988649
imdb_big,9,0.2,4,0.5607264472190693
imdb_big,9,0.2,6,0.5561861520998865
imdb_big,9,0.2,8,0.5618615209988649
imdb_big,9,0.4,2,0.5561861520998865
imdb_big,9,0.4,4,0.547105561861521
imdb_big,9,0.4,6,0.5527809307604994
imdb_big,9,0.4,8,0.5584562996594779
imdb_big,9,0.6,2,0.5493757094211124
imdb_big,9,0.6,4,0.5482406356413166
imdb_big,9,0.6,6,0.5527809307604994
imdb_big,9,0.6,8,0.5561861520998865
movie,0,0.05,2,0.5104895104895105
movie,0,0.05,4,0.5104895104895105
movie,0,0.05,6,0.5104895104895105
movie,0,0.05,8,0.5104895104895105
movie,0,0.2,2,0.5104895104895105
movie,0,0.2,4,0.5104895104895105
movie,0,0.2,6,0.5104895104895105
movie,0,0.2,8,0.5104895104895105
movie,0,0.4,2,0.5104895104895105
movie,0,0.4,4,0.5104895104895105
movie,0,0.4,6,0.5104895104895105
movie,0,0.4,8,0.5104895104895105
movie,0,0.6,2,0.5104895104895105
movie,0,0.6,4,0.5104895104895105
movie,0,0.6,6,0.5104895104895105
movie,0,0.6,8,0.5104895104895105
movie,1,0.05,2,0.5104895104895105
movie,1,0.05,4,0.5104895104895105
movie,1,0.05,6,0.5104895104895105
movie,1,0.05,8,0.5104895104895105
movie,1,0.2,2,0.5104895104895105
movie,1,0.2,4,0.5104895104895105
movie,1,0.2,6,0.5104895104895105
movie,1,0.2,8,0.5104895104895105
movie,1,0.4,2,0.5104895104895105
movie,1,0.4,4,0.5104895104895105
movie,1,0.4,6,0.5104895104895105
movie,1,0.4,8,0.5104895104895105
movie,1,0.6,2,0.5104895104895105
movie,1,0.6,4,0.5104895104895105
movie,1,0.6,6,0.5104895104895105
movie,1,0.6,8,0.5104895104895105
movie,2,0.05,2,0.5070422535211268
movie,2,0.05,4,0.5070422535211268
movie,2,0.05,6,0.5070422535211268
movie,2,0.05,8,0.5070422535211268
movie,2,0.2,2,0.5070422535211268
movie,2,0.2,4,0.5070422535211268
movie,2,0.2,6,0.5070422535211268
movie,2,0.2,8,0.5070422535211268
movie,2,0.4,2,0.5070422535211268
movie,2,0.4,4,0.5070422535211268
movie,2,0.4,6,0.5070422535211268
movie,2,0.4,8,0.5070422535211268
movie,2,0.6,2,0.5070422535211268
movie,2,0.6,4,0.5070422535211268
movie,2,0.6,6,0.5070422535211268
movie,2,0.6,8,0.5070422535211268
movie,3,0.05,2,0.5070422535211268
